CODE,Name,Qty,Unit
C1-01-0001,បង់រុំ,1,ដុំ
C1-02-0001,បង់ស្កុត,1,ដុំ
C1-03-0001,ស្កុតរុំម្ហូប,1,ដុំ
C1-04-0001,ស្រោមសំបុត្រ,1,ដុំ
C1-05-0001,ក្រដាសពណ៌បៃតង,1,ដុំ
C1-06-0001,ក្រដាសរឹង250g,1,ដុំ
C1-07-0001,ខ្សែនីឡុង ពណ៌ស,1,ដុំ
C1-08-0001,ខ្សែភ្លើង,1,ដុំ
C1-09-0001,សំឡីដុំធំ,1,ដុំ
C1-10-0001,ស្កុតបិទផ្លូវ,1,ដុំ
C1-11-0001,ក្រដាសពណ៌ចម្រុះ (ក្នុងថង់ស),1,ដុំ
C1-12-0001,ស្កុតមុខ២ធំ,1,ដុំ
C1-13-0001,ខ្សែZip,1,ដុំ
C1-14-0001,ក្រដាសA4,1,ដុំ
C1-15-0001,ក្រដាសជូតមាត់ដុំធំ,1,ដុំ
C1-16-0001,ស្កុតមុខ២តូច,1,ដុំ
C1-17-0001,ក្រដាសពណ៌ចម្រុះ (ថ្មី),1,ដុំ
C1-18-0001,ស្កុតក្រដាសធំ,1,ដុំ
C1-19-0001,សំឡីដុំតូច,1,ដុំ
C1-20-0001,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-21-0001,ស្កុតក្រដាសតូច,1,ដុំ
C1-22-0001,ស្កុតថ្លា,1,ដុំ
C1-23-0001,ស្កុតក្រហម,1,ដុំ
C1-25-0001,ស្កុតខ្មៅមុខ២,1,ដុំ
